freq,c_resid,terrtypo,nace_r2,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,DOM,CST_A,I551-I553,NR,DE93	2374136 	2305700 	2432149 	2492919 	2597506 	2623921 	2726094 	2666099 	1432355 	1411017 	1718614 	1718169 	2034003 
A,DOM,CST_A,I551-I553,NR,DE94	8559417 	8572206 	8675184 	8866219 	9346307 	9568471 	9938957 	10274424 	7566206 	7973413 	9788758 	9714365 	9840759 
A,DOM,CST_A,I551-I553,NR,DEA	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,DEA1	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,DEA2	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,DEA3	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,DEA4	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,DEA5	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,DEB	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,DEB1	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,DEB2	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
