actual,oof_predictions,meta_predictions,oof_residuals,meta_residuals
0.0,8378733.0,7835690.127087,-8378733.0,-7835690.127087
1168424.0,10597983.0,9508875.05937332,-9429559.0,-8340451.059373319
1921162.0,9638250.0,8303315.325213307,-7717088.0,-6382153.325213307
13140138.0,7642737.0,6944561.163553361,5497401.0,6195576.836446639
16229724.0,8378733.0,7648020.084469941,7850991.0,8581703.91553006
16229724.0,8378733.0,7835690.127087,7850991.0,8394033.872913
0.0,20886208.0,19030206.830260724,-20886208.0,-19030206.830260724
1417901.0,15533912.0,13680956.508103026,-14116011.0,-12263055.508103026
4756643.0,20886208.0,17274308.979011137,-16129565.0,-12517665.979011137
28510030.0,15533912.0,14234765.412381286,12976118.0,14275264.587618714
34684574.0,9247085.0,7925703.79511977,25437489.0,26758870.20488023
34684574.0,9247085.0,7925703.79511977,25437489.0,26758870.20488023
0.0,20317340.0,17756276.394735333,-20317340.0,-17756276.394735333
1413056.0,18482606.0,16505827.056728205,-17069550.0,-15092771.056728205
4762621.0,15116319.0,13865450.187898463,-10353698.0,-9102829.187898463
28926431.0,16054999.0,14131363.636778831,12871432.0,14795067.363221169
35102108.0,14943558.0,13405487.085300775,20158550.0,21696620.914699227
35102108.0,15116319.0,13330580.170962214,19985789.0,21771527.829037786
0.0,22789586.0,19863778.39061556,-22789586.0,-19863778.39061556
1458222.0,22789586.0,19863778.39061556,-21331364.0,-18405556.39061556
4597739.0,22789586.0,19913482.03349285,-18191847.0,-15315743.033492848
28478942.0,13062566.0,12029333.414532894,15416376.0,16449608.585467106
34534903.0,13062566.0,11761629.2655879,21472337.0,22773273.7344121
